AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,class
7787,339.845,131.977,76.6247,0.8142,99.5727,0.9781,7961,0.7739,1.7224,0.8473,0.7545,0.0169,0.0098,0.5692,0.9804,Arborio
7876,349.258,143.0417,70.9596,0.8683,100.1401,0.9739,8087,0.7121,2.0158,0.8114,0.7001,0.0182,0.009,0.4901,0.988,Arborio
8045,350.872,141.7056,73.3129,0.8558,101.2088,0.9716,8280,0.643,1.9329,0.8212,0.7142,0.0176,0.0091,0.5101,0.986,Arborio
5781,296.713,120.5073,61.7923,0.8585,85.7939,0.9802,5898,0.616,1.9502,0.8252,0.7119,0.0208,0.0107,0.5069,0.9885,Arborio
6393,315.269,132.1478,62.6279,0.8806,90.221,0.9814,6514,0.6163,2.11,0.8083,0.6827,0.0207,0.0098,0.4661,0.9835,Arborio
7773,342.445,136.3565,73.3235,0.8431,99.4831,0.9772,7954,0.6484,1.8597,0.8329,0.7296,0.0175,0.0094,0.5323,0.9899,Arborio
7010,325.593,130.5814,69.673,0.8458,94.4744,0.9815,7142,0.6114,1.8742,0.831,0.7235,0.0186,0.0099,0.5234,0.981,Arborio
8848,364.731,145.5206,78.5643,0.8417,106.1396,0.9798,9030,0.7533,1.8522,0.8358,0.7294,0.0164,0.0089,0.532,0.9854,Arborio
8445,357.689,146.641,73.6889,0.8646,103.6943,0.9854,8570,0.6225,1.99,0.8295,0.7071,0.0174,0.0087,0.5,0.9951,Arborio
7688,348.591,140.9056,70.4906,0.8659,98.9377,0.9635,7979,0.6243,1.9989,0.795,0.7022,0.0183,0.0092,0.493,0.9855,Arborio
8732,358.481,142.1276,78.9168,0.8317,105.4416,0.9812,8899,0.6552,1.801,0.8539,0.7419,0.0163,0.009,0.5504,0.9912,Arborio
7865,345.993,140.69,71.9715,0.8592,100.0701,0.9785,8038,0.667,1.9548,0.8256,0.7113,0.0179,0.0092,0.5059,0.989,Arborio
7320,322.876,127.7515,73.4618,0.8181,96.5407,0.9843,7437,0.7896,1.739,0.8824,0.7557,0.0175,0.01,0.5711,0.9931,Arborio
6768,316.053,126.0192,68.8473,0.8376,92.8293,0.9768,6929,0.7277,1.8304,0.8514,0.7366,0.0186,0.0102,0.5426,0.9932,Arborio
8590,355.992,143.2185,77.0087,0.8431,104.5807,0.9826,8742,0.6483,1.8598,0.8518,0.7302,0.0167,0.009,0.5332,0.9917,Arborio
8513,363.303,143.373,76.9692,0.8437,104.1109,0.9696,8780,0.6331,1.8627,0.8105,0.7262,0.0168,0.009,0.5273,0.9822,Arborio
7428,335.82,133.4484,71.8107,0.8429,97.2503,0.9737,7629,0.6448,1.8583,0.8277,0.7287,0.018,0.0097,0.5311,0.9869,Arborio
7927,347.753,141.518,72.1217,0.8604,100.4638,0.9789,8098,0.718,1.9622,0.8237,0.7099,0.0179,0.0091,0.504,0.9889,Arborio
7747,345.32,139.9023,71.1738,0.8609,99.3166,0.9829,7882,0.7907,1.9656,0.8164,0.7099,0.0181,0.0092,0.504,0.9906,Arborio
7712,342.793,133.825,75.1159,0.8276,99.092,0.9771,7893,0.6554,1.7816,0.8247,0.7405,0.0174,0.0097,0.5483,0.9768,Arborio
6633,312.712,128.9462,65.8517,0.8598,91.8988,0.9857,6729,0.7581,1.9581,0.8524,0.7127,0.0194,0.0099,0.5079,0.9946,Arborio
7474,340.31,133.6406,72.5742,0.8397,97.551,0.9705,7701,0.6697,1.8414,0.811,0.73,0.0179,0.0097,0.5328,0.9812,Arborio
8581,364.428,151.4138,72.3818,0.8783,104.5259,0.9834,8726,0.631,2.0919,0.8119,0.6903,0.0176,0.0084,0.4766,0.9969,Arborio
7956,348.516,139.9259,73.7066,0.85,100.6474,0.9767,8146,0.6367,1.8984,0.8231,0.7193,0.0176,0.0093,0.5174,0.9822,Arborio
8006,348.291,140.2655,73.343,0.8524,100.9631,0.9796,8173,0.6615,1.9125,0.8294,0.7198,0.0175,0.0092,0.5181,0.9909,Arborio
6748,318.236,124.0425,70.6199,0.8221,92.6921,0.9753,6919,0.6971,1.7565,0.8373,0.7473,0.0184,0.0105,0.5584,0.9808,Arborio
6598,305.317,116.8123,73.0522,0.7803,91.6561,0.9846,6701,0.7999,1.599,0.8894,0.7846,0.0177,0.0111,0.6157,0.9845,Arborio
7620,348.062,140.5406,69.8289,0.8678,98.4992,0.9778,7793,0.6114,2.0126,0.7904,0.7009,0.0184,0.0092,0.4912,0.9886,Arborio
7492,344.266,141.6068,68.2235,0.8763,97.6684,0.9729,7701,0.5939,2.0756,0.7944,0.6897,0.0189,0.0091,0.4757,0.9874,Arborio
7603,339.822,134.9621,72.5744,0.8431,98.3892,0.974,7806,0.6793,1.8596,0.8274,0.729,0.0178,0.0095,0.5315,0.9883,Arborio
6225,304.963,122.7916,65.6081,0.8453,89.0276,0.984,6326,0.7731,1.8716,0.8411,0.725,0.0197,0.0105,0.5257,0.9838,Arborio
6821,313.035,123.0808,70.8868,0.8175,93.1921,0.9812,6952,0.6938,1.7363,0.8747,0.7572,0.018,0.0104,0.5733,0.9954,Arborio
8476,364.022,143.4216,76.5963,0.8454,103.8844,0.968,8756,0.6395,1.8724,0.8038,0.7243,0.0169,0.009,0.5247,0.9824,Arborio
6141,313.849,132.3768,59.7535,0.8923,88.4249,0.9846,6237,0.5852,2.2154,0.7834,0.668,0.0216,0.0097,0.4462,0.9885,Arborio
5069,269.03,103.5074,63.5456,0.7894,80.3371,0.9805,5170,0.6802,1.6289,0.8801,0.7761,0.0204,0.0125,0.6024,0.9812,Arborio
6974,329.923,129.9569,70.0078,0.8425,94.2315,0.9665,7216,0.646,1.8563,0.8051,0.7251,0.0186,0.01,0.5258,0.976,Arborio
6579,326.713,138.0836,61.3647,0.8958,91.524,0.9734,6759,0.6907,2.2502,0.7745,0.6628,0.021,0.0093,0.4393,0.9886,Arborio
7514,339.203,135.5565,71.4662,0.8497,97.8117,0.9718,7732,0.6537,1.8968,0.8207,0.7216,0.018,0.0095,0.5206,0.9876,Arborio
7634,346.999,143.0237,68.7706,0.8768,98.5896,0.9798,7791,0.7968,2.0797,0.7967,0.6893,0.0187,0.009,0.4752,0.9882,Arborio
8525,352.526,140.9852,77.6147,0.8348,104.1843,0.984,8664,0.6944,1.8165,0.862,0.739,0.0165,0.0091,0.5461,0.9919,Arborio
8501,353.041,140.5963,77.3328,0.8351,104.0375,0.9827,8651,0.6446,1.8181,0.8571,0.74,0.0165,0.0091,0.5476,0.9955,Arborio
7532,331.395,129.5887,74.9015,0.816,97.9287,0.983,7662,0.7334,1.7301,0.8618,0.7557,0.0172,0.0099,0.5711,0.988,Arborio
6294,305.981,123.1109,65.3336,0.8476,89.5197,0.9778,6437,0.6674,1.8843,0.8448,0.7271,0.0196,0.0104,0.5287,0.9963,Arborio
7976,346.355,140.8093,72.6452,0.8566,100.7738,0.9869,8082,0.7857,1.9383,0.8355,0.7157,0.0177,0.0091,0.5122,0.9928,Arborio
8239,359.289,146.3681,72.4384,0.8689,102.4218,0.9686,8506,0.7293,2.0206,0.802,0.6998,0.0178,0.0088,0.4897,0.9894,Arborio
7347,333.945,136.6635,68.9525,0.8634,96.7186,0.9793,7502,0.6134,1.982,0.8279,0.7077,0.0186,0.0094,0.5009,0.9927,Arborio
7993,352.351,145.8598,70.4221,0.8757,100.8811,0.9804,8153,0.7209,2.0712,0.809,0.6916,0.0182,0.0088,0.4784,0.9908,Arborio
5594,293.419,119.664,60.5524,0.8625,84.3949,0.9747,5739,0.6357,1.9762,0.8165,0.7053,0.0214,0.0108,0.4974,0.983,Arborio
7132,331.411,138.1908,66.5104,0.8766,95.2929,0.9832,7254,0.6721,2.0777,0.816,0.6896,0.0194,0.0093,0.4755,0.988,Arborio
6294,306.276,122.5312,67.0714,0.8369,89.5197,0.9799,6423,0.8347,1.8269,0.8432,0.7306,0.0195,0.0107,0.5338,0.9751,Arborio
8049,352.948,142.6332,72.867,0.8597,101.2339,0.9805,8209,0.64,1.9574,0.812,0.7097,0.0177,0.0091,0.5037,0.9861,Arborio
8255,364.813,146.371,73.1071,0.8663,102.5212,0.9745,8471,0.7206,2.0021,0.7794,0.7004,0.0177,0.0089,0.4906,0.9822,Arborio
8124,351.07,142.118,73.4034,0.8563,101.7045,0.9773,8313,0.6767,1.9361,0.8283,0.7156,0.0175,0.009,0.5121,0.9915,Arborio
7299,336.53,134.4869,69.7064,0.8552,96.4022,0.9713,7515,0.7036,1.9293,0.8099,0.7168,0.0184,0.0096,0.5138,0.9913,Arborio
7442,340.41,138.5562,69.4914,0.8651,97.3419,0.9805,7590,0.6593,1.9939,0.807,0.7025,0.0186,0.0093,0.4936,0.9841,Arborio
7085,323.828,132.4463,68.5227,0.8558,94.9784,0.9831,7207,0.6887,1.9329,0.849,0.7171,0.0187,0.0097,0.5142,0.994,Arborio
6355,299.921,117.3289,69.9933,0.8026,89.9524,0.9859,6446,0.6571,1.6763,0.8878,0.7667,0.0185,0.011,0.5878,0.9853,Arborio
7702,348.928,145.9979,67.5195,0.8866,99.0277,0.981,7851,0.6386,2.1623,0.795,0.6783,0.019,0.0088,0.4601,0.9948,Arborio
6769,325.196,130.1676,67.5979,0.8546,92.8362,0.9685,6989,0.6216,1.9256,0.8043,0.7132,0.0192,0.01,0.5087,0.9795,Arborio
7458,339.292,137.1575,70.1232,0.8594,97.4465,0.9725,7669,0.7312,1.956,0.8141,0.7105,0.0184,0.0094,0.5048,0.9873,Arborio
7321,336.819,137.1926,68.8988,0.8647,96.5473,0.9791,7477,0.7095,1.9912,0.8109,0.7037,0.0187,0.0094,0.4952,0.9861,Arborio
8566,364.642,148.5683,74.4013,0.8656,104.4345,0.9805,8736,0.6441,1.9969,0.8096,0.7029,0.0173,0.0087,0.4941,0.9867,Arborio
7589,348.067,144.8443,67.5854,0.8845,98.2986,0.9834,7717,0.6755,2.1431,0.7872,0.6787,0.0191,0.0089,0.4606,0.9871,Arborio
7826,343.084,135.0443,75.1614,0.8308,99.8217,0.9751,8026,0.6365,1.7967,0.8355,0.7392,0.0173,0.0096,0.5464,0.9817,Arborio
8807,366.48,150.6851,74.9305,0.8676,105.8934,0.984,8950,0.622,2.011,0.824,0.7027,0.0171,0.0085,0.4939,0.9931,Arborio
7439,332.357,130.1832,74.1265,0.8221,97.3223,0.9788,7600,0.6437,1.7562,0.8463,0.7476,0.0175,0.01,0.5589,0.9815,Arborio
8844,367.296,147.8792,77.1016,0.8533,106.1156,0.9727,9092,0.7328,1.918,0.8238,0.7176,0.0167,0.0087,0.5149,0.9876,Arborio
8216,353.451,139.4542,76.2296,0.8374,102.2787,0.973,8444,0.7462,1.8294,0.8264,0.7334,0.017,0.0093,0.5379,0.984,Arborio
6268,307.725,124.0962,65.1623,0.851,89.3346,0.9797,6398,0.7598,1.9044,0.8318,0.7199,0.0198,0.0104,0.5182,0.9869,Arborio
9119,373.708,147.5369,79.802,0.8411,107.7528,0.9772,9332,0.6354,1.8488,0.8205,0.7303,0.0162,0.0088,0.5334,0.9862,Arborio
7867,354.28,139.5223,73.2692,0.851,100.0828,0.9529,8256,0.6128,1.9042,0.7876,0.7173,0.0177,0.0093,0.5146,0.9798,Arborio
5366,290.971,121.0575,57.2138,0.8813,82.6571,0.9705,5529,0.6142,2.1159,0.7965,0.6828,0.0226,0.0107,0.4662,0.9864,Arborio
7811,350.638,141.8215,71.4337,0.8639,99.726,0.9653,8092,0.7916,1.9854,0.7984,0.7032,0.0182,0.0091,0.4945,0.9817,Arborio
7062,323.704,127.7988,71.4234,0.8293,94.8241,0.9827,7186,0.6637,1.7893,0.8469,0.742,0.0181,0.0101,0.5505,0.9851,Arborio
7541,337.233,134.3771,72.5443,0.8418,97.9872,0.9684,7787,0.7758,1.8523,0.8333,0.7292,0.0178,0.0096,0.5317,0.9849,Arborio
7390,342.767,139.3514,69.1067,0.8684,97.0012,0.9703,7616,0.6158,2.0165,0.7904,0.6961,0.0189,0.0094,0.4845,0.9771,Arborio
7313,329.046,133.6008,70.3442,0.8502,96.4946,0.9853,7422,0.7695,1.8992,0.8488,0.7223,0.0183,0.0096,0.5217,0.9908,Arborio
8347,362.49,149.6576,71.7837,0.8775,103.0909,0.9818,8502,0.747,2.0848,0.7983,0.6888,0.0179,0.0086,0.4745,0.9893,Arborio
8113,357.527,145.4521,72.1001,0.8685,101.6356,0.9789,8288,0.7429,2.0174,0.7976,0.6988,0.0179,0.0089,0.4883,0.985,Arborio
7566,335.359,132.2587,73.6922,0.8304,98.1495,0.9803,7718,0.6656,1.7947,0.8454,0.7421,0.0175,0.0097,0.5507,0.9884,Arborio
6959,332.538,138.6979,64.2881,0.8861,94.1301,0.9819,7087,0.5859,2.1574,0.7908,0.6787,0.0199,0.0092,0.4606,0.9937,Arborio
7860,344.828,138.7799,73.192,0.8496,100.0383,0.9776,8040,0.6323,1.8961,0.8307,0.7208,0.0177,0.0093,0.5196,0.9852,Arborio
6745,322.776,128.0841,68.1326,0.8468,92.6715,0.9754,6915,0.7804,1.8799,0.8136,0.7235,0.019,0.0101,0.5235,0.9841,Arborio
7960,350.593,146.2246,69.5766,0.8795,100.6727,0.9837,8092,0.6019,2.1016,0.8138,0.6885,0.0184,0.0087,0.474,0.9962,Arborio
8061,352.263,141.8285,73.4445,0.8555,101.3093,0.974,8276,0.6285,1.9311,0.8163,0.7143,0.0176,0.0091,0.5102,0.9853,Arborio
8869,361.162,145.313,77.9523,0.8439,106.2655,0.9824,9028,0.6541,1.8641,0.8544,0.7313,0.0164,0.0088,0.5348,0.9969,Arborio
7937,352.37,143.5936,71.4197,0.8675,100.5271,0.9728,8159,0.6088,2.0106,0.8033,0.7001,0.0181,0.009,0.4901,0.9854,Arborio
6502,313.5,129.4696,64.3103,0.8679,90.9868,0.982,6621,0.6254,2.0132,0.8313,0.7028,0.0199,0.0099,0.4939,0.9943,Arborio
6968,326.408,135.5396,65.7885,0.8743,94.1909,0.9832,7087,0.669,2.0602,0.8219,0.6949,0.0195,0.0094,0.4829,0.995,Arborio
6882,317.36,130.1571,67.5452,0.8548,93.6079,0.9843,6992,0.7423,1.927,0.8587,0.7192,0.0189,0.0098,0.5172,0.9967,Arborio
7415,330.61,130.6839,72.7963,0.8305,97.1652,0.9798,7568,0.668,1.7952,0.8525,0.7435,0.0176,0.0098,0.5528,0.9924,Arborio
7085,328.517,136.2713,66.7769,0.8717,94.9784,0.9838,7202,0.6669,2.0407,0.825,0.697,0.0192,0.0094,0.4858,0.9913,Arborio
8536,360.814,146.374,75.1525,0.8581,104.2515,0.9733,8770,0.634,1.9477,0.8239,0.7122,0.0171,0.0088,0.5073,0.988,Arborio
7890,346.065,142.3722,71.3486,0.8654,100.229,0.9823,8032,0.7882,1.9954,0.8279,0.704,0.018,0.009,0.4956,0.989,Arborio
7538,338.482,137.6462,70.5665,0.8586,97.9678,0.9818,7678,0.7693,1.9506,0.8268,0.7117,0.0183,0.0094,0.5066,0.9881,Arborio
8562,363.112,146.908,74.9762,0.86,104.4101,0.9724,8805,0.66,1.9594,0.816,0.7107,0.0172,0.0088,0.5051,0.9897,Arborio
7581,336.5,131.3922,74.7141,0.8226,98.2468,0.9764,7764,0.6339,1.7586,0.8413,0.7477,0.0173,0.0099,0.5591,0.9833,Arborio
8136,358.61,147.4874,71.156,0.8759,101.7795,0.9787,8313,0.774,2.0727,0.795,0.6901,0.0181,0.0087,0.4762,0.9871,Arborio
7381,338.317,133.0864,72.0432,0.8408,96.9422,0.9602,7687,0.6787,1.8473,0.8104,0.7284,0.018,0.0098,0.5306,0.9802,Arborio
6676,326.06,135.0719,63.9195,0.8809,92.1962,0.9762,6839,0.6887,2.1132,0.7891,0.6826,0.0202,0.0096,0.4659,0.9845,Arborio
7262,339.139,139.8676,67.1377,0.8773,96.1575,0.9753,7446,0.5948,2.0833,0.7934,0.6875,0.0193,0.0092,0.4726,0.9847,Arborio
7191,330.849,137.0452,67.2823,0.8712,95.6863,0.9847,7303,0.6569,2.0369,0.8255,0.6982,0.0191,0.0094,0.4875,0.993,Arborio
7426,332.452,136.5325,69.5095,0.8607,97.2372,0.9829,7555,0.8089,1.9642,0.8443,0.7122,0.0184,0.0094,0.5072,0.9963,Arborio
8756,364.152,143.7973,78.4998,0.8378,105.5864,0.9741,8989,0.7796,1.8318,0.8298,0.7343,0.0164,0.009,0.5392,0.9876,Arborio
8693,356.668,142.5733,78.4313,0.8351,105.2058,0.9813,8859,0.7666,1.8178,0.8587,0.7379,0.0164,0.009,0.5445,0.9898,Arborio
7170,331.734,131.8298,70.1593,0.8466,95.5465,0.9746,7357,0.679,1.879,0.8187,0.7248,0.0184,0.0098,0.5253,0.987,Arborio
7366,343.104,138.3998,69.0705,0.8666,96.8436,0.9657,7628,0.7518,2.0037,0.7863,0.6997,0.0188,0.0094,0.4896,0.9811,Arborio
8109,355.841,144.594,72.4874,0.8653,101.6105,0.9812,8264,0.6964,1.9947,0.8048,0.7027,0.0178,0.0089,0.4938,0.9851,Arborio
7112,325.117,129.3942,70.8254,0.8369,95.1592,0.9841,7227,0.7611,1.8269,0.8455,0.7354,0.0182,0.01,0.5408,0.9881,Arborio
7637,343.636,136.0887,72.6408,0.8456,98.609,0.9729,7850,0.6589,1.8734,0.8127,0.7246,0.0178,0.0095,0.525,0.9836,Arborio
